,Codes,Names,ver
102,79.11,Деятельность туристических агентств,
103,46.12,"Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами",
104,46.13,Деятельность агентов по оптовой торговле лесоматериалами и строительными материалами,
105,46.14,"Деятельность агентов по оптовой торговле машинами, промышленным оборудованием, судами и летательными аппаратами",
106,46.15,"Деятельность агентов по оптовой торговле мебелью, бытовыми товарами, скобяными, ножевыми и прочими металлическими изделиями",
107,29.10.32,Производство троллейбусов,
108,46.16,"Деятельность агентов по оптовой торговле текстильными изделиями, одеждой, обувью, изделиями из кожи и меха",
109,46.17,"Деятельность агентов по оптовой торговле пищевыми продуктами, напитками и табачными изделиями",
110,46.18,"Деятельность агентов, специализирующихся на оптовой торговле прочими отдельными видами товаров",
111,46.19,Деятельность агентов по оптовой торговле универсальным ассортиментом товаров,
112,46.31,Торговля оптовая фруктами и овощами,
113,46.31.11,Торговля оптовая свежим картофелем,
114,46.90,Торговля оптовая неспециализированная,
115,47.7,Торговля розничная прочими товарами в специализированных магазинах,
116,49.4,Деятельность автомобильного грузового транспорта и услуги по перевозкам,
117,45.1,Торговля автотранспортными средствами,
118,45.20,Техническое обслуживание и ремонт автотранспортных средств,
119,45.3,"Торговля автомобильными деталями, узлами и принадлежностями",
120,45.40,"Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов",
121,47.19,Торговля розничная прочая в неспециализированных магазинах,
122,47.21,Торговля розничная фруктами и овощами в специализированных магазинах,
123,47.22,Торговля розничная мясом и мясными продуктами в специализированных магазинах,
124,47.24,Торговля розничная хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах,
125,47.25,Торговля розничная напитками в специализированных магазинах,
126,47.26,Торговля розничная табачными изделиями в специализированных магазинах,
127,47.29,Торговля розничная прочими пищевыми продуктами в специализированных магазинах,
128,47.30,Торговля розничная моторным топливом в специализированных магазинах,
129,47.43,Торговля розничная аудио- и видеотехникой в специализированных магазинах,
130,47.51,Торговля розничная текстильными изделиями в специализированных магазинах,
131,46.62,Торговля оптовая станками,
132,47.52,"Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах",
133,47.54,Торговля розничная бытовыми электротоварами в специализированных магазинах,
134,47.59,"Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах",
135,47.61,Торговля розничная книгами в специализированных магазинах,
136,47.71,Торговля розничная одеждой в специализированных магазинах,
137,47.72,Торговля розничная обувью и изделиями из кожи в специализированных магазинах,
138,47.73,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),
139,47.74,"Торговля розничная изделиями, применяемыми в медицинских целях, ортопедическими изделиями в специализированных магазинах",
140,47.79,Торговля розничная бывшими в употреблении товарами в магазинах,
141,47.8,Торговля розничная в нестационарных торговых объектах и на рынках,
142,47.9,"Торговля розничная вне магазинов, палаток, рынков",
143,47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",
144,68.10,Покупка и продажа собственного недвижимого имущества,
145,68.10.1,Подготовка к продаже собственного недвижимого имущества,
146,68.31,Деятельность агентств недвижимости за вознаграждение или на договорной основе,
147,68.32,Управление недвижимым имуществом за вознаграждение или на договорной основе,
148,82.99,"Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки",
149,95.22.1,Ремонт бытовой техники,
150,95.23,Ремонт обуви и прочих изделий из кожи,
151,95.25,Ремонт часов и ювелирных изделий,
152,95.29,Ремонт прочих предметов личного потребления и бытовых товаров,
153,96.01,Стирка и химическая чистка текстильных и меховых изделий,
154,96.02,Предоставление услуг парикмахерскими и салонами красоты,
155,96.03,Организация похорон и предоставление связанных с ними услуг,
156,96.04,Деятельность физкультурно-оздоровительная,
157,96.09,"Предоставление прочих персональных услуг, не включенных в другие группировки",
158,43.22,"Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха",
159,55.10,Деятельность гостиниц и прочих мест для временного проживания,
160,55.90,Деятельность по предоставлению прочих мест для временного проживания,
161,56.10.1,"Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания",
162,56.10.3,Деятельность ресторанов и баров по обеспечению питанием в железнодорожных вагонахресторанах и на судах,
163,68.31.11,Предоставление посреднических услуг при купле-продаже жилого недвижимого имущества за вознаграждение или на договорной основе,
164,68.31.12,Предоставление посреднических услуг при купле-продаже нежилого недвижимого имущества за вознаграждение или на договорной основе,
165,68.31.21,Предоставление посреднических услуг по аренде жилого недвижимого имущества за вознаграждение или на договорной основе,
166,68.31.22,Предоставление посреднических услуг по аренде нежилого недвижимого имущества за вознаграждение или на договорной основе,
167,68.31.31,Предоставление консультационных услуг при купле-продаже жилого недвижимого имущества за вознаграждение или на договорной основе,
168,68.31.32,Предоставление консультационных услуг при купле-продаже нежилого недвижимого имущества за вознаграждение или на договорной основе,
169,68.31.41,Предоставление консультационных услуг по аренде жилого недвижимого имущества за вознаграждение или на договорной основе,
170,68.31.42,Предоставление консультационных услуг по аренде нежилого недвижимого имущества за вознаграждение или на договорной основе,
171,69.10,Деятельность в области права,
172,33.14,Ремонт электрического оборудования,
173,10.41,Производство масел и жиров,
174,47.52.3,Торговля розничная стеклом в специализированных магазинах,
175,18.1,Деятельность полиграфическая и предоставление услуг в этой области,
176,46.9,Торговля оптовая неспециализированная,
177,49.3,Деятельность прочего сухопутного пассажирского транспорта,
178,52.24,Транспортная обработка грузов,
179,58,Деятельность издательская,
180,58.11,Издание книг,
181,58.13,Издание газет,
182,42.11,Строительство автомобильных дорог и автомагистралей,
183,42.99,"Строительство прочих инженерных сооружений, не включенных в другие группировки",
184,43.11,Разборка и снос зданий,
185,43.12.3,Производство земляных работ,
186,43.13,Разведочное бурение,
