,Codes,Names,ver
1321,86.90.1,Деятельность организаций санитарно-эпидемиологической службы,
1322,95.21,Ремонт электронной бытовой техники,
1323,45.25.6,"Производство прочих строительных работ, требующих специальной  квалификации",
1324,45.32,Производство изоляционных работ,
1325,45.34,Монтаж прочего инженерного оборудования,
1326,52.72.2,Ремонт прочих бытовых электрических изделий,
1327,74.20.11,Архитектурная деятельность,
1328,74.20.12,"Проектирование производственных помещений, включая размещение  машин и оборудования, промышленный дизайн",
1329,10.62.2,Производство нерафинированного кукурузного масла и его фракций,
1330,01.1,Растениеводство,
1331,51.11,"Деятельность агентов по оптовой торговле живыми животными,  сельскохозяйственным сырьем, текстильным сырьем и полуфабрикатами",
1332,01.25.1,Разведение пчел,
1333,51.17,"Деятельность агентов по оптовой торговле пищевыми продуктами, включая  напитки, и табачными изделиями",
1334,51.17.22,"Деятельность агентов по оптовой торговле алкогольными напитками,  кроме пива",
1335,51.34.21,"Оптовая торговля алкогольными напитками, кроме пива",
1336,52.25.1,"Розничная торговля алкогольными напитками, включая пиво",
1337,55.22,Деятельность кемпингов,
1338,55.3,Деятельность ресторанов,
1339,55.5,Деятельность столовых при предприятиях и учреждениях и поставка продукции  общественного питания,
1340,64.12,Курьерская деятельность,
1341,47.78.1,"Торговля розничная фотоаппаратурой, оптическими приборами и средствами измерений, кроме очков, в специализированных магазинах",
1342,95.2,Ремонт предметов личного потребления и хозяйственно-бытового назначения,
1343,37.10.1,Обработка отходов и лома черных металлов,
1344,37.10.21,"Обработка отходов и лома цветных металлов, кроме драгоценных",
1345,51.52.21,Оптовая торговля черными металлами в первичных формах,
1346,02.20,Лесозаготовки,
1347,52.21.2,"Деятельность вспомогательная, связанная с автомобильным транспортом",
1348,35.11.1,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",
1349,35.30.4,Обеспечение работоспособности котельных,
1350,47.78.6,"Торговля розничная бытовым жидким котельным топливом, газом в баллонах, углем, древесным топливом, топливным торфом в специализированных магазинах",
1351,65.30,Деятельность негосударственных пенсионных фондов,
1352,03.11,Рыболовство морское,
1353,86.90.4,Деятельность санаторно-курортных организаций,
1354,47.99.5,Деятельность по осуществлению розничных продаж комиссионными агентами вне магазинов,
1355,77.29.9,"Прокат прочих бытовых изделий и предметов личного пользования для домашних хозяйств, предприятий и организаций, не включенных в другие группировки",
1356,77.33.1,Аренда и лизинг офисных машин и оборудования,
1357,77.33.2,Аренда и лизинг вычислительных машин и оборудования,
1358,79.90.2,Деятельность по предоставлению экскурсионных туристических услуг,
1359,77.39.21,"Аренда и лизинг двигателей, турбин и станков",
1360,77.39.23,Аренда и лизинг подъемно-транспортного оборудования,
1361,01.22,Выращивание тропических и субтропических культур,
1362,77.39.25,Аренда и лизинг контрольно-измерительной аппаратуры,
1363,50.10,Деятельность морского пассажирского транспорта,
1364,01.23,Выращивание цитрусовых культур,
1365,50.20,Деятельность морского грузового транспорта,
1366,50.20.3,Аренда морских судов заграничного и каботажного плавания для перевозки грузов с экипажем,
1367,74.20.35,Инженерные изыскания для строительства,
1368,50.20.42,Деятельность по оказанию маневровых услуг судами заграничного и каботажного плавания,
1369,50.30,Деятельность внутреннего водного пассажирского транспорта,
1370,23.70.3,Производство гранул и порошков из природного камня,
1371,50.40,Деятельность внутреннего водного грузового транспорта,
1372,52.22.1,"Деятельность вспомогательная, связанная с морским транспортом",
1373,23.99.2,Производство изделий из асфальта или аналогичных материалов,
1374,52.22,"Деятельность вспомогательная, связанная с водным транспортом",
1375,35.2,Производство и распределение газообразного топлива,
1376,77.29,Прокат и аренда прочих предметов личного пользования и хозяйственно-бытового назначения,
1377,47.62.2,Торговля розничная писчебумажными и канцелярскими товарами в специализированных магазинах,
1378,10.11,Переработка и консервирование мяса,
1379,10.12,Производство и консервирование мяса птицы,
1380,77.35,Аренда и лизинг воздушных судов и авиационного оборудования,
1381,20.59.4,"Производство смазочных материалов, присадок к смазочным материалам и антифризов",
1382,25.91,Производство металлических бочек и аналогичных емкостей,
1383,25.92,Производство тары из легких металлов,
1384,27.32,Производство прочих проводов и кабелей для электронного и электрического оборудования,
1385,30.12,Строительство прогулочных и спортивных судов,
1386,33.15,Ремонт и техническое обслуживание судов и лодок,
1387,35.21,Производство газа,
1388,52.10.1,Хранение и складирование замороженных или охлажденных грузов,
1389,52.10.23,Хранение и складирование прочих жидких или газообразных грузов,
1390,84.22,"Деятельность, связанная с обеспечением военной безопасности",
1391,91.02,Деятельность музеев,
1392,91.03,"Деятельность по охране исторических мест и зданий, памятников культуры",
1393,23.20.1,"Производство огнеупорных кирпичей, блоков, плиток",
1394,23.20.2,"Производство огнеупорных цементов, растворов, бетонов и аналогичных составов",
1395,23.20.3,Производство безобжиговых огнеупорных изделий,
1396,23.20.9,Производство прочих огнеупорных керамических изделий,
1397,23.51,Производство цемента,
1398,23.52,Производство извести и гипса,
1399,23.52.1,"Производство негашеной, гашеной и гидравлической извести",
1400,23.64,Производство сухих бетонных смесей,
1401,23.65,Производство изделий из асбестоцемента и волокнистого цемента,
1402,23.65.2,Производство изделий из асбестоцемента и волокнистого цемента с волокнами целлюлозы или аналогичных материалов,
1403,25.12,Производство металлических дверей и окон,
1404,47.52.73,Торговля розничная металлическими и неметаллическими конструкциями в специализированных магазинах,
1405,47.52.74,Торговля розничная сборными деревянными строениями в специализированных магазинах,
1406,84.13,Регулирование и содействие эффективному ведению экономической деятельности предприятий,
1407,25.94,Производство крепежных изделий,
1408,47.52.79,"Торговля розничная прочими строительными материалами, не включенными в другие группировки, в специализированных магазинах",
1409,26.30.17,Производство радио- и телевизионной передающей аппаратуры,
1410,47.59.4,"Торговля розничная изделиями из дерева, пробки и плетеными изделиями в специализированных магазинах",
1411,84.25.1,Деятельность по обеспечению пожарной безопасности,
1412,13.20.11,Производство шелковых тканей,
1413,13.20.12,Производство шерстяных тканей,
1414,13.20.2,Производство хлопчатобумажных тканей,
1415,13.20.3,"Производство тканей, за исключением специальных тканей, из химических комплексных нитей и штапельных волокон",
1416,13.20.4,"Производство ворсовых, махровых полотенечных тканей и прочих специальных тканей",
1417,13.30,Отделка тканей и текстильных изделий,
1418,13.91,Производство трикотажного и вязаного полотна,
1419,13.92,"Производство готовых текстильных изделий, кроме одежды",
1420,13.93,Производство ковров и ковровых изделий,
1421,14.11,Производство одежды из кожи,
1422,14.31,Производство вязаных и трикотажных чулочно-носочных изделий,
1423,14.39,Производство прочих вязаных и трикотажных изделий,
1424,16.24,Производство деревянной тары,
1425,27.12,Производство электрической распределительной и регулирующей аппаратуры,
1426,30.11,"Строительство кораблей, судов и плавучих конструкций",
1427,71.12.4,Деятельность геодезическая и картографическая,
1428,71.12.42,"Деятельность картографическая, включая деятельность в областях наименований географических объектов и создания и ведения картографо-геодезического фонда",
1429,71.12.43,Работы гидрографические изыскательские,
1430,86.90.2,Деятельность организаций судебно-медицинской экспертизы,
1431,46.44.1,Торговля оптовая изделиями из керамики и стекла,
1432,11.05,Производство пива,
1433,01.45,Разведение овец и коз,
1434,01.45.4,Разведение племенных овец и коз,
1435,01.46.1,Выращивание и разведение свиней,
1436,01.46.12,Разведение племенного поголовья свиней,
1437,35.12,Передача электроэнергии и технологическое присоединение к распределительным электросетям,
1438,70.10,Деятельность головных офисов,
1439,02.40,Предоставление услуг в области лесоводства и лесозаготовок,
1440,71.12.46,Землеустройство,
1441,85.23,Подготовка кадров высшей квалификации,
1442,91.04,"Деятельность ботанических садов, зоопарков, государственных природных заповедников и национальных парков",
1443,94.12,Деятельность профессиональных членских организаций,
1444,25.99.29,"Производство прочих изделий из недрагоценных металлов, не включенных в другие группировки",
1445,11.07.1,Производство минеральных вод,
1446,49.31.25,"Перевозка пассажиров фуникулерами, подвесными канатными дорогами и подъемниками, являющимися частью городской или пригородной транспортной системы",
1447,11.02,Производство вина из винограда,
1448,11.03,Производство сидра и прочих плодовых вин,
1449,85.42.9,"Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки",
1450,20.53,Производство эфирных масел,
1451,01.24,Выращивание семечковых и косточковых культур,
1452,01.28,"Выращивание специй, пряно-ароматических, эфиромасличных и лекарственных культур",
1453,01.43,Разведение лошадей и прочих животных семейства лошадиных отряда непарнокопытных,
1454,01.64,Обработка семян для посадки,
1455,03.22,Рыбоводство пресноводное,
1456,10.73,Производство макаронных изделий кускуса и аналогичных мучных изделий,
1457,98.10,Деятельность недифференцированная частных домашних хозяйств по производству товаров для собственного потребления,
1458,98.20,Деятельность недифференцированная частных домашних хозяйств по предоставлению услуг для собственного потребления,
1459,93.29.2,"Деятельность танцплощадок, дискотек, школ танцев",
1460,85.11,Образование дошкольное,
1461,85.14,Образование среднее общее,
1462,10.82.2,Производство шоколада и сахаристых кондитерских изделий,
1463,26.40,Производство бытовой электроники,
1464,35.11.4,"Производство электроэнергии, получаемой из возобновляемых источников энергии, включая выработанную солнечными, ветровыми, геотермальными электростанциями, в том числе деятельность по обеспечению их работоспособности",
1465,35.30.2,Передача пара и горячей воды (тепловой энергии),
1466,35.30.3,Распределение пара и горячей воды (тепловой энергии),
1467,38.11,Сбор неопасных отходов,
1468,61.10.1,Деятельность по предоставлению услуг телефонной связи,
1469,71.12.53,Деятельность по мониторингу загрязнения окружающей среды для физических и юридических лиц,
1470,90.01,Деятельность в области исполнительских искусств,
1471,71.12.11,"Разработка проектов тепло-, водо-, газоснабжения",
1472,71.12.7,Кадастровая деятельность,
1473,09.90,Предоставление услуг в других областях добычи полезных ископаемых,
1474,23.52.2,Производство гипса,
1475,50.30.2,Аренда судов внутреннего водного транспорта для перевозки пассажиров с экипажем,
1476,50.40.2,Буксировка и маневровые услуги на внутренних водных путях,
1477,47.77.2,Торговля розничная ювелирными изделиями в специализированных магазинах,
1478,66.19.5,"Предоставление услуг по хранению ценностей, депозитарная деятельность",
1479,20.14,Производство прочих основных органических химических веществ,
1480,27.40,Производство электрических ламп и осветительного оборудования,
1481,28.29,"Производство прочих машин и оборудования общего назначения, не включенного в другие группировки",
1482,28.99,"Производство прочих машин и оборудования специального назначения, не включенных в другие группировки",
1483,28.99.9,"Производство оборудования специального назначения, не включенного в другие группировки",
1484,35.14,Торговля электроэнергией,
1485,49.50.1,Транспортирование по трубопроводам нефти и нефтепродуктов,
1486,49.50.2,Транспортирование по трубопроводам газа и продуктов его переработки,
1487,36.00.2,Распределение воды для питьевых и промышленных нужд,
1488,02.1,Лесоводство и прочая лесохозяйственная деятельность,
1489,49.31.2,Деятельность прочего сухопутного транспорта по регулярным внутригородским и пригородным пассажирским перевозкам,
1490,26.5,Производство контрольно-измерительных и навигационных приборов и аппаратов; производство часов,
1491,61.10.4,Деятельность в области документальной электросвязи,
1492,29.40.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  станков",
1493,47.99.3,Деятельность по осуществлению прямых продаж топлива с доставкой по адресу клиента,
1494,32.12.1,Производство изделий технического назначения из драгоценных металлов,
1495,85.42.1,Деятельность школ подготовки водителей автотранспортных средств,
1496,71.12.64,Государственный контроль (надзор) за соблюдением требований технических регламентов,
1497,71.20.4,"Испытания, исследования и анализ целостных механических и электрических систем, энергетическое обследование",
1498,23.19.9,"Производство прочих изделий из стекла, не включенных в другие группировки",
1499,73.12,Представление в средствах массовой информации,
1500,58.19,Виды издательской деятельности прочие,
1501,71.12.61,Деятельность в области технического регулирования и стандартизации,
1502,71.12.62,Деятельность в области метрологии,
1503,71.12.65,Федеральный государственный метрологический надзор,
1504,71.12.66,Деятельность в области каталогизации продукции,
1505,53.10,Деятельность почтовой связи общего пользования,
1506,32.12.5,"Производство ювелирных изделий, медалей из драгоценных металлов и драгоценных камней",
1507,46.76.4,Торговля оптовая драгоценными камнями,
1508,59.1,"Производство кинофильмов, видеофильмов и телевизионных программ",
1509,11.07.2,"Производство безалкогольных напитков ароматизированных и/или с добавлением сахара, кроме минеральных вод",
1510,23.19.6,"Производство стеклянных деталей электрических ламп и осветительной арматуры, световых указателей, световых табло и аналогичных изделий",
1511,26.11.9,"Производство частей электронных ламп, трубок и прочих электронных компонентов, не включенных в другие группировки",
1512,26.40.3,Производство аппаратуры для записи и воспроизведения звука и изображения,
1513,26.40.4,Производство электроакустической аппаратуры,
1514,26.40.5,Производство частей звукозаписывающей и звуковоспроизводящей аппаратуры и видеоаппаратуры,
1515,29.24.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  прочего оборудования общего назначения, не включенного в другие группировки",
1516,45.11,Разборка и снос зданий; производство земляных работ,
1517,45.21.3,"Производство общестроительных работ по прокладке магистральных  трубопроводов, линий связи и линий электропередачи",
1518,45.21.4,"Производство общестроительных работ по прокладке местных  трубопроводов, линий связи и линий электропередачи, включая взаимосвязанные  вспомогательные работы",
1519,64.20.3,Прочая деятельность в области электросвязи,
1520,74.90.6,"Предоставление прочих технических консультаций, деятельность консультантов, кроме архитекторов, проектировщиков и консультантов по управлению",
1521,90.04.2,Деятельность многоцелевых центров и подобных заведений с преобладанием культурного обслуживания,
1522,33.19,Ремонт прочего оборудования,
1523,01.11.19,Выращивание прочих зерновых культур,
1524,01.41.2,"Производство сырого коровьего молока и сырого молока прочего крупного рогатого скота (буйволов, яков и др.)",
1525,01.41.21,Производство сырого коровьего молока,
1526,01.46.11,Выращивание свиней на мясо,
1527,01.47.1,"Выращивание и разведение сельскохозяйственной птицы: кур, индеек, уток, гусей и цесарок",
1528,01.47.11,Выращивание сельскохозяйственной птицы на мясо,
1529,01.47.2,Производство яиц сельскохозяйственной птицы,
1530,49.20.9,Перевозка прочих грузов,
1531,53.20,Деятельность почтовой связи прочая и курьерская деятельность,
1532,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",
1533,35.30.14,Производство пара и горячей воды (тепловой энергии) котельными,
1534,25.30,"Производство паровых котлов, кроме котлов центрального отопления",
1535,47.41.1,Торговля розничная компьютерами в специализированных магазинах,
1536,72.19.2,Научные исследования и разработки в области технических наук,
1537,47.41.2,Торговля розничная программным обеспечением в специализированных магазинах,
1538,47.41.3,Торговля розничная периферийными устройствами в специализированных магазинах,
1539,47.53.1,Торговля розничная коврами и ковровыми изделиями в специализированных магазинах,
1540,47.78.5,"Деятельность коммерческих художественных галерей, торговля розничная произведениями искусства в коммерческих художественных галереях",
1541,74.90.2,"Деятельность, направленная на установление рыночной или иной стоимости (оценочная деятельность), кроме оценки, связанной с недвижимым имуществом или страхованием",
1542,93.29.1,Деятельность парков отдыха и пляжей,
1543,93.29.3,"Организация обрядов (свадеб, юбилеев), в т.ч. музыкальное сопровождение",
1544,29.32.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  машин для сельского хозяйства, включая колесные тракторы, и лесного хозяйства",
1545,71.3,Аренда прочих машин и оборудования,
1546,74.13.1,Исследование конъюнктуры рынка,
1547,25.12,Восстановление резиновых шин и покрышек,
1548,45.25,Производство прочих строительных работ,
1549,45.50,Аренда строительных машин и оборудования с оператором,
1550,40.30.5,Деятельность по обеспечению работоспособности тепловых сетей,
1551,41.00.2,Распределение воды,
1552,25.72,Производство замков и петель,
1553,63.21.21,Деятельность терминалов (автобусных станций и т.п.),
1554,63.3,Деятельность туристических агентств,
1555,63.4,Организация перевозок грузов,
1556,64.1,Почтовая и курьерская деятельность,
1557,72.4,Деятельность по созданию и использованию баз данных и информационных  ресурсов,
1558,72.5,Техническое обслуживание и ремонт офисных машин и вычислительной  техники,
1559,29.12,"Производство насосов, компрессоров и гидравлических систем",
1560,29.12.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  насосов и компрессоров",
1561,72.19.4,Научные исследования и разработки в области защиты информации,
1562,29.23.1,"Производство теплообменных устройств, промышленного холодильного  оборудования и оборудования для кондиционирования воздуха; производство  оборудования для фильтрования и очистки газов",
1563,29.24.1,"Производство газогенераторов, аппаратов для дистилляции, фильтрования  или очистки жидкости и газов",
1564,29.24.4,"Производство оборудования, не включенного в другие группировки, для  обработки веществ с использованием процессов, предусматривающих изменение  температуры среды",
1565,50.20.1,Техническое обслуживание и ремонт легковых автомобилей,
1566,50.20.2,Техническое обслуживание и ремонт прочих автотранспортных средств,
1567,92.6,Деятельность в области спорта,
1568,05.1,Добыча и обогащение угля и антрацита,
1569,06.1,Добыча сырой нефти и нефтяного (попутного) газа,
1570,46.72.11,Торговля оптовая железными рудами,
1571,53.20.1,Деятельность специальной почтовой связи,
1572,24.11,Производство промышленных газов,
1573,74.20.2,"Геолого-разведочные, геофизические и геохимические работы в области  изучения недр",
1574,51.41.1,"Оптовая торговля текстильными изделиями, кроме текстильных  галантерейных изделий",
1575,52.72.1,Ремонт радио- и телеаппаратуры и прочей аудио- и видеоаппаратуры,
1576,51.1,Оптовая торговля через агентов (за вознаграждение или на договорной  основе),
1577,60.21,"Деятельность прочего сухопутного пассажирского транспорта,  подчиняющегося расписанию",
1578,64.20,Деятельность в области электросвязи,
1579,28.12,Производство гидравлического и пневматического силового оборудования,
1580,29.31,Производство электрического и электронного оборудования для автотранспортных средств,
1581,29.32,Производство прочих комплектующих и принадлежностей для автотранспортных средств,
1582,66.2,Деятельность вспомогательная в сфере страхования и пенсионного обеспечения,
1583,51.21,"Оптовая торговля зерном, семенами и кормами для сельскохозяйственных  животных",
1584,51.31,"Оптовая торговля фруктами, овощами и картофелем",
1585,51.32,"Оптовая торговля мясом, мясом птицы, продуктами и консервами из мяса и  мяса птицы",
1586,81.21.9,Деятельность по уборке прочих типов зданий и помещений,
1587,51.33,"Оптовая торговля молочными продуктами, яйцами, пищевыми маслами и  жирами",
1588,51.65,Оптовая торговля прочими машинами и оборудованием,
1589,67.1,Вспомогательная деятельность в сфере финансового посредничества,
1590,74.12.1,Деятельность в области бухгалтерского учета,
1591,74.15,Деятельность по управлению финансово-промышленными группами и  холдинг-компаниями,
1592,26.3,Производство керамических плиток и плит,
1593,52.46.1,Розничная торговля скобяными изделиями,
1594,63.12.21,Хранение и складирование нефти и продуктов ее переработки,
1595,70.31.11,"Предоставление посреднических услуг при покупке, продаже и аренде  жилого недвижимого имущества",
1596,70.31.12,"Предоставление посреднических услуг при покупке, продаже и аренде  нежилого недвижимого имущества",
1597,70.32,Управление недвижимым имуществом,
1598,22.23,Брошюровочно-переплетная и отделочная деятельность,
1599,22.25,Прочая полиграфическая деятельность,
1600,11.0,Производство напитков,
1601,66.0,Страхование,
1602,80.10.1,Дошкольное образование (предшествующее начальному общему  образованию),
1603,50.10.2,Розничная торговля автотранспортными средствами,
1604,51.42.1,"Оптовая торговля одеждой, кроме нательного белья",
1605,51.54.2,Оптовая торговля водопроводным и отопительным оборудованием,
1606,75.30,Деятельность в области обязательного социального обеспечения,
1607,03.22.1,Рыбоводство пресноводное индустриальное,
1608,10.20.2,Переработка и консервирование ракообразных и моллюсков,
1609,10.20.5,"Деятельность по обработке морских водорослей, в том числе морской капусты",
1610,10.20.9,"Производство прочих продуктов из рыбы, ракообразных, моллюсков и прочих водных беспозвоночных, непригодных для употребления в пищу",
1611,51.52,Оптовая торговля металлами и металлическими рудами,
1612,33.2,Монтаж промышленных машин и оборудования,
1613,01.11,"Выращивание зерновых, технических и прочих сельскохозяйственных  культур, не включенных в другие группировки",
1614,17.25,Производство прочих текстильных тканей,
1615,01.12.1,Овощеводство,
1616,01.23,Разведение свиней,
1617,01.24,Разведение сельскохозяйственной птицы,
1618,01.41,Предоставление услуг в области растениеводства,
1619,05.01,Рыболовство,
1620,05.02,Рыбоводство,
1621,15.13,Производство продуктов из мяса и мяса птицы,
1622,15.33,"Переработка и консервирование фруктов и овощей, не включенных в другие  группировки",
1623,15.61,Производство продуктов мукомольно-крупяной промышленности,
1624,74.82,Упаковывание,
1625,15.11,Производство мяса,
1626,15.12,Производство мяса сельскохозяйственной птицы и кроликов,
1627,15.89.1,"Производство готовых к употреблению пищевых продуктов и заготовок для  их приготовления, не включенных в другие группировки",
1628,52.22,"Розничная торговля мясом, мясом птицы, продуктами и консервами из мяса и  мяса птицы",
1629,52.73,Ремонт часов и ювелирных изделий,
1630,55.51,Деятельность столовых при предприятиях и учреждениях,
1631,71.34.5,Аренда контрольно-измерительной аппаратуры,
1632,71.34.7,Аренда торгового оборудования,
1633,71.34.9,Аренда прочих машин и оборудования научного и промышленного  назначения,
1634,92.71,Деятельность по организации азартных игр,
1635,93.02,Предоставление услуг парикмахерскими и салонами красоты,
1636,26.70.2,"Резка, обработка и отделка камня для памятников",
1637,51.21.4,Оптовая торговля кормами для сельскохозяйственных животных,
1638,52.48.34,"Розничная торговля сувенирами, изделиями народных художественных промыслов, предметами культового и религиозного назначения, похоронными  принадлежностями",
1639,45.11.1,"Разборка и снос зданий, расчистка строительных участков",
1640,45.44,Производство малярных и стекольных работ,
1641,28.1,Производство машин и оборудования общего назначения,
1642,51.53.23,Оптовая торговля материалами для остекления,
1643,74.30.6,Испытания и расчеты строительных элементов,
1644,20.30,"Производство деревянных строительных конструкций, включая сборные  деревянные строения, и столярных изделий",
1645,28.14,Производство прочих кранов и клапанов,
1646,31.62.9,"Предоставление услуг по монтажу, ремонту и техническому обслуживанию  прочего электрооборудования, не включенного в другие группировки",
1647,50.40,"Торговля мотоциклами, их деталями, узлами и принадлежностями;  техническое обслуживание и ремонт мотоциклов",
1648,50.40.1,"Оптовая торговля мотоциклами, их деталями, узлами и принадлежностями",
1649,50.40.2,"Розничная торговля мотоциклами, их деталями, узлами и  принадлежностями",
1650,50.40.3,"Торговля мотоциклами, их деталями, узлами и принадлежностями через  агентов",
1651,51.11.21,Деятельность агентов по оптовой торговле зерном,
1652,51.11.25,Деятельность агентов по оптовой торговле текстильным сырьем и  полуфабрикатами,
1653,51.11.26,"Деятельность агентов по оптовой торговле прочими сельскохозяйственным  сырьем и полуфабрикатами, не включенными в другие группировки",
1654,51.12.24,Деятельность агентов по оптовой торговле драгоценными металлами,
1655,51.14.1,Деятельность агентов по оптовой торговле офисным оборудованием и  вычислительной техникой,
1656,51.15,"Деятельность агентов по оптовой торговле мебелью, бытовыми товарами,  скобяными, ножевыми и прочими металлическими изделиями",
1657,51.15.3,Деятельность агентов по оптовой торговле электротоварами и бытовыми  электроустановочными изделиями,
1658,51.16,"Деятельность агентов по оптовой торговле текстильными изделиями,  одеждой, обувью, изделиями из кожи и меха",
1659,51.18,"Деятельность агентов, специализирующихся на оптовой торговле  отдельными видами товаров или группами товаров, не включенными в другие  группировки",
1660,51.18.1,"Деятельность агентов, специализирующихся на оптовой торговле  фармацевтическими и медицинскими товарами, парфюмерными и косметическими  товарами, включая мыло",
